hotstar_id,title,description,genre,year,age_rating,running_time,seasons,episodes,type
-0.12258032123208916,4980,916,0,0.023571499205864613,4,0.8874385827490247,-0.18783905337062762,-0.22436726890040196,0
0.4177327835891429,2882,6131,26,0.8613713210316849,4,1.276822117953936,-0.18783905337062762,-0.22436726890040196,0
0.41778175377143834,1073,6671,35,0.8613713210316849,4,0.7657562279974898,-0.18783905337062762,-0.22436726890040196,0
-0.12230759393108917,6171,812,11,0.35869142793619274,2,-0.11035672621356085,-0.18783905337062762,-0.22436726890040196,0
-0.12253183106812988,3025,3588,26,-1.4844681800806119,3,0.4493821056434993,-0.18783905337062762,-0.22436726890040196,0
-0.1226236163924102,3655,5652,11,0.2749114457536107,2,-0.37805790666693745,-0.18783905337062762,-0.22436726890040196,0
-0.12237303227491782,4819,1312,6,0.35869142793619274,3,0.5223915184944202,-0.18783905337062762,-0.22436726890040196,0
-0.1222878196692406,3343,3731,0,0.5262513923013568,3,0.8631021117987177,-0.18783905337062762,-0.22436726890040196,0
0.417745677588173,1855,3277,0,0.8613713210316849,4,1.0577938794011734,-0.18783905337062762,-0.22436726890040196,0
-0.1226293101163977,3123,465,11,-0.22776844734188148,4,0.9604479955999455,-0.18783905337062762,-0.22436726890040196,0
0.4175532027033764,1097,5499,32,0.35869142793619274,3,1.0334574084508663,-0.18783905337062762,-0.22436726890040196,0
-0.12253374490747021,3197,3600,26,0.35869142793619274,4,-0.23203908096509568,-0.18783905337062762,-0.22436726890040196,0
0.41754926281261723,3637,644,11,0.6100313744839388,3,0.3033632799416575,-0.18783905337062762,-0.22436726890040196,0
0.4175385257790977,1710,3647,23,0.6100313744839388,2,0.4980550475441132,-0.18783905337062762,-0.22436726890040196,0
0.4175486311001748,4525,4411,0,0.4424714101187748,3,0.4980550475441132,-0.18783905337062762,-0.22436726890040196,0
-0.12252722621690496,2100,6546,11,0.35869142793619274,5,0.9361115246496385,-0.18783905337062762,-0.22436726890040196,0
-0.12262927063437006,5371,6541,0,-0.5628883760722095,3,0.8631021117987177,-0.18783905337062762,-0.22436726890040196,0
-0.12244129877872711,3356,4645,11,-0.5628883760722095,3,0.668410344196262,-0.18783905337062762,-0.22436726890040196,0
0.08505515930594149,2775,5732,0,0.5262513923013568,5,0.4737185765938063,-0.18783905337062762,-0.22436726890040196,0
-0.12255104219158408,6351,4701,0,0.10735148138844663,3,0.6927468151465689,-0.18783905337062762,-0.22436726890040196,0
-0.12244017873594272,686,1708,11,-0.3115484295244635,3,0.5954009313453411,-0.18783905337062762,-0.22436726890040196,0
-0.12254979746871236,3891,2753,20,-0.14398846515929944,2,0.4737185765938063,-0.18783905337062762,-0.22436726890040196,0
0.4175747474224649,1931,19,11,-0.47910839388962756,5,-0.2563755519154026,-0.18783905337062762,-0.22436726890040196,0
-0.12264377924053092,5319,2768,26,-0.060208482976717416,3,0.9117750536993317,-0.18783905337062762,-0.22436726890040196,0
-0.12268733622903533,2803,1011,11,0.10735148138844663,3,0.9361115246496385,-0.18783905337062762,-0.22436726890040196,0
-0.1226199030038096,1030,4517,0,-0.5628883760722095,3,0.644073873245955,-0.18783905337062762,-0.22436726890040196,0
0.41757908213350065,1950,1961,5,0.6100313744839388,4,1.1551397632024012,-0.18783905337062762,-0.22436726890040196,0
-0.1227318013041757,4091,4933,11,-0.3953284117070455,2,-0.5484132033190862,-0.18783905337062762,-0.22436726890040196,0
-0.12236098194447857,986,6231,0,0.4424714101187748,3,0.7170832860968759,-0.18783905337062762,-0.22436726890040196,0
-0.1226546658901552,1776,2894,35,0.19113146357102867,4,0.42504563469319234,-0.18783905337062762,-0.22436726890040196,0
